# omega(Hartree), S(1/Hartree)
2.199853233346050763e-01,8.655777840837080017e-01
2.230837081703037350e-01,8.742640104564074477e-01
2.261820930060023938e-01,8.828024424665058545e-01
2.292804778417010803e-01,8.911838429663409000e-01
2.323788626773997390e-01,8.995652434661757235e-01
2.354772475130983977e-01,9.079466439660105470e-01
2.385756323487970842e-01,9.163280444658455925e-01
2.416740171844957430e-01,9.247094449656804160e-01
2.447724020201944017e-01,9.330908454655153506e-01
2.478707868558930605e-01,9.414722459653501740e-01
2.509691716915917192e-01,9.498536464651852196e-01
2.540675565272903502e-01,9.579849078483424485e-01
2.571659413629890367e-01,9.659077199676027181e-01
2.602643261986877232e-01,9.738305320868628767e-01
2.633627110343863542e-01,9.817533442061227023e-01
2.664610958700850407e-01,9.896761563253828609e-01
2.695594807057836717e-01,9.975989684446431305e-01
2.726578655414823582e-01,1.005521780563903400e+00
2.757562503771810447e-01,1.013444592683163226e+00
2.788546352128796757e-01,1.021367404802423273e+00
2.819530200485783622e-01,1.028926857619152813e+00
2.850514048842770487e-01,1.036250126889237899e+00
2.881497897199756797e-01,1.043573396159322764e+00
2.912481745556743107e-01,1.050896665429407628e+00
2.943465593913729972e-01,1.058219934699492715e+00
2.974449442270716282e-01,1.065543203969577801e+00
3.005433290627703147e-01,1.072866473239662666e+00
3.036417138984690012e-01,1.080189742509747974e+00
3.067400987341676322e-01,1.087513011779832617e+00
3.098384835698663187e-01,1.094353255151279569e+00
3.129368684055650052e-01,1.100951985573407788e+00
3.160352532412636362e-01,1.107550715995536228e+00
3.191336380769623227e-01,1.114149446417664224e+00
3.222320229126610092e-01,1.120748176839792887e+00
3.253304077483596402e-01,1.127346907261921327e+00
3.284287925840583267e-01,1.133945637684049546e+00
3.315271774197569576e-01,1.140544368106177764e+00
3.346255622554556441e-01,1.147143098528306204e+00
3.377239470911543306e-01,1.153137062003838142e+00
3.408223319268529616e-01,1.158904237874397669e+00
3.439207167625516481e-01,1.164671413744956974e+00
3.470191015982503346e-01,1.170438589615516500e+00
3.501174864339489101e-01,1.176205765486075583e+00
3.532158712696475966e-01,1.181972941356635109e+00
3.563142561053462276e-01,1.187740117227194414e+00
3.594126409410449141e-01,1.193507293097753941e+00
3.625110257767435451e-01,1.199274468968313245e+00
3.656094106124422316e-01,1.204317168624068568e+00
3.687077954481409181e-01,1.209164816991223912e+00
3.718061802838395491e-01,1.214012465358379256e+00
3.749045651195382356e-01,1.218860113725534822e+00
3.780029499552369221e-01,1.223707762092690166e+00
3.811013347909355531e-01,1.228555410459845287e+00
3.841997196266342396e-01,1.233403058827000853e+00
3.872981044623329261e-01,1.238250707194156419e+00
3.903964892980315571e-01,1.243098355561311763e+00
3.934948741337302436e-01,1.247107572916194007e+00
3.965932589694288746e-01,1.250967070447457807e+00
3.996916438051275611e-01,1.254826567978721386e+00
4.027900286408262476e-01,1.258686065509985186e+00
4.058884134765248786e-01,1.262545563041248542e+00
4.089867983122235651e-01,1.266405060572512342e+00
4.120851831479222516e-01,1.270264558103776142e+00
4.151835679836208826e-01,1.274124055635039721e+00
4.182819528193195691e-01,1.277983553166303299e+00
4.213803376550182000e-01,1.280899715480932732e+00
4.244787224907168866e-01,1.283721544273900061e+00
4.275771073264154620e-01,1.286543373066867613e+00
4.306754921621141485e-01,1.289365201859834942e+00
4.337738769978128350e-01,1.292187030652802493e+00
4.368722618335114660e-01,1.295008859445770044e+00
4.399706466692101525e-01,1.297830688238737595e+00
4.430690315049088390e-01,1.300652517031705147e+00
4.461674163406074700e-01,1.303474345824672476e+00
4.492658011763061565e-01,1.305259461426396150e+00
4.523641860120047875e-01,1.307012179740895341e+00
4.554625708477034740e-01,1.308764898055394532e+00
4.585609556834021605e-01,1.310517616369893501e+00
4.616593405191007915e-01,1.312270334684392692e+00
4.647577253547994780e-01,1.314023052998891883e+00
4.678561101904981645e-01,1.315775771313390852e+00
4.709544950261967955e-01,1.317528489627890043e+00
4.740528798618954820e-01,1.319248406072586199e+00
4.771512646975941685e-01,1.319918662683648547e+00
4.802496495332927995e-01,1.320588919294711117e+00
4.833480343689914860e-01,1.321259175905773464e+00
4.864464192046901170e-01,1.321929432516836034e+00
4.895448040403888035e-01,1.322599689127898381e+00
4.926431888760874900e-01,1.323269945738960729e+00
4.957415737117861210e-01,1.323940202350023077e+00
4.988399585474848075e-01,1.324610458961085424e+00
5.019383433831834385e-01,1.325182658999576324e+00
5.050367282188820139e-01,1.324774293312368956e+00
5.081351130545807004e-01,1.324365927625161810e+00
5.112334978902793869e-01,1.323957561937954663e+00
5.143318827259780734e-01,1.323549196250747517e+00
5.174302675616767599e-01,1.323140830563540371e+00
5.205286523973754464e-01,1.322732464876333225e+00
5.236270372330740219e-01,1.322324099189126079e+00
5.267254220687727084e-01,1.321915733501918933e+00
5.298238069044713949e-01,1.321346855597788528e+00
5.329221917401700814e-01,1.319879109278903062e+00
5.360205765758687679e-01,1.318411362960017819e+00
5.391189614115673434e-01,1.316943616641132353e+00
5.422173462472660299e-01,1.315475870322246887e+00
5.453157310829647164e-01,1.314008124003361422e+00
5.484141159186634029e-01,1.312540377684476178e+00
5.515125007543620894e-01,1.311072631365590935e+00
5.546108855900607759e-01,1.309604885046705469e+00
5.577092704257593514e-01,1.307919668972292948e+00
5.608076552614580379e-01,1.305426708091647514e+00
5.639060400971567244e-01,1.302933747211002302e+00
5.670044249328554109e-01,1.300440786330356868e+00
5.701028097685540974e-01,1.297947825449711434e+00
5.732011946042526729e-01,1.295454864569066222e+00
5.762995794399513594e-01,1.292961903688420788e+00
5.793979642756500459e-01,1.290468942807775576e+00
5.824963491113486214e-01,1.287975981927130142e+00
5.855947339470473079e-01,1.285216579611497156e+00
5.886931187827459944e-01,1.281746666802572987e+00
5.917915036184446809e-01,1.278276753993648596e+00
5.948898884541432563e-01,1.274806841184724426e+00
5.979882732898419428e-01,1.271336928375800035e+00
6.010866581255406293e-01,1.267867015566875422e+00
6.041850429612393159e-01,1.264397102757951252e+00
6.072834277969380024e-01,1.260927189949026861e+00
6.103818126326366889e-01,1.257457277140102470e+00
6.134801974683352643e-01,1.253682244125653211e+00
6.165785823040339508e-01,1.249296970700160880e+00
6.196769671397326373e-01,1.244911697274668327e+00
6.227753519754312128e-01,1.240526423849176441e+00
6.258737368111300103e-01,1.236141150423683888e+00
6.289721216468285858e-01,1.231755876998191557e+00
6.320705064825272723e-01,1.227370603572699226e+00
6.351688913182258478e-01,1.222985330147207117e+00
6.382672761539246453e-01,1.218600056721714564e+00
6.413656609896232208e-01,1.213883410012541297e+00
6.444640458253220183e-01,1.208656958251556057e+00
6.475624306610205938e-01,1.203430506490571039e+00
6.506608154967192803e-01,1.198204054729586243e+00
6.537592003324178558e-01,1.192977602968601669e+00
6.568575851681166533e-01,1.187751151207616651e+00
6.599559700038152288e-01,1.182524699446631633e+00
6.630543548395139153e-01,1.177298247685646837e+00
6.661527396752126018e-01,1.172071795924662041e+00
6.692511245109112883e-01,1.166502086527038795e+00
6.723495093466098638e-01,1.160520467965454827e+00
6.754478941823086613e-01,1.154538849403870415e+00
6.785462790180072368e-01,1.148557230842286669e+00
6.816446638537059233e-01,1.142575612280702702e+00
6.847430486894044988e-01,1.136593993719118734e+00
6.878414335251032963e-01,1.130612375157534544e+00
6.909398183608018718e-01,1.124630756595950576e+00
6.940382031965006693e-01,1.118649138034366386e+00
6.971365880321992448e-01,1.112328452747977092e+00
7.002349728678978202e-01,1.105688645838245554e+00
7.033333577035965067e-01,1.099048838928514016e+00
7.064317425392951932e-01,1.092409032018782034e+00
7.095301273749938797e-01,1.085769225109050273e+00
7.126285122106924552e-01,1.079129418199318735e+00
7.157268970463912527e-01,1.072489611289586753e+00
7.188252818820898282e-01,1.065849804379855437e+00
7.219236667177885147e-01,1.059209997470123454e+00
7.250220515534870902e-01,1.052252774780707556e+00
7.281204363891858877e-01,1.045061666779947052e+00
7.312188212248844632e-01,1.037870558779187213e+00
7.343172060605832607e-01,1.030679450778427153e+00
7.374155908962818362e-01,1.023488342777667315e+00
7.405139757319805227e-01,1.016297234776907032e+00
7.436123605676790982e-01,1.009106126776147416e+00
7.467107454033778957e-01,1.001915018775387134e+00
7.498091302390764712e-01,9.947239107746274067e-01
7.529075150747751577e-01,9.872554339063986939e-01
7.560058999104738442e-01,9.796284605424754321e-01
7.591042847461725307e-01,9.720014871785525035e-01
7.622026695818711062e-01,9.643745138146295748e-01
7.653010544175699037e-01,9.567475404507062020e-01
7.683994392532684792e-01,9.491205670867833843e-01
7.714978240889671657e-01,9.414935937228605667e-01
7.745962089246658522e-01,9.338666203589373049e-01
7.776945937603644277e-01,9.262396469950144873e-01
7.807929785960631142e-01,9.183940694601852028e-01
7.838913634317616896e-01,9.104534466336592358e-01
7.869897482674604872e-01,9.025128238071327136e-01
7.900881331031590626e-01,8.945722009806064134e-01
7.931865179388577491e-01,8.866315781540803354e-01
7.962849027745564356e-01,8.786909553275540352e-01
7.993832876102551221e-01,8.707503325010275130e-01
8.024816724459536976e-01,8.628097096745015460e-01
8.055800572816524951e-01,8.548690868479749128e-01
8.086784421173510706e-01,8.467868600840211535e-01
8.117768269530497571e-01,8.386593200600910292e-01
8.148752117887483326e-01,8.305317800361610159e-01
8.179735966244471301e-01,8.224042400122303365e-01
8.210719814601457056e-01,8.142766999883003232e-01
8.241703662958445031e-01,8.061491599643698658e-01
8.272687511315430786e-01,7.980216199404398525e-01
8.303671359672417651e-01,7.898940799165097282e-01
8.334655208029403406e-01,7.817665398925796039e-01
8.365639056386391381e-01,7.735911568442215280e-01
8.396622904743377136e-01,7.654051420126581906e-01
8.427606753100364001e-01,7.572191271810942981e-01
8.458590601457350866e-01,7.490331123495306276e-01
8.489574449814337731e-01,7.408470975179669571e-01
8.520558298171323486e-01,7.326610826864035086e-01
8.551542146528309241e-01,7.244750678548400602e-01
8.582525994885297216e-01,7.162890530232760566e-01
8.613509843242282971e-01,7.081030381917127192e-01
8.644493691599270946e-01,6.999770862141816430e-01
8.675477539956256701e-01,6.918594187682418628e-01
8.706461388313243566e-01,6.837417513223015275e-01
8.737445236670229320e-01,6.756240838763617473e-01
8.768429085027217296e-01,6.675064164304213010e-01
8.799412933384203050e-01,6.593887489844815208e-01
8.830396781741189915e-01,6.512710815385412966e-01
8.861380630098176781e-01,6.431534140926012943e-01
8.892364478455163646e-01,6.350357466466610701e-01
8.923348326812149400e-01,6.270963763480925657e-01
8.954332175169137376e-01,6.191685090912888434e-01
8.985316023526123130e-01,6.112406418344856762e-01
9.016299871883109995e-01,6.033127745776821760e-01
9.047283720240095750e-01,5.953849073208790088e-01
9.078267568597083725e-01,5.874570400640751755e-01
9.109251416954069480e-01,5.795291728072721193e-01
9.140235265311057455e-01,5.716013055504683971e-01
9.171219113668043210e-01,5.636734382936661181e-01
9.202202962025030075e-01,5.560477955030903585e-01
9.233186810382015830e-01,5.484221527125149320e-01
9.264170658739003805e-01,5.407965099219389504e-01
9.295154507095989560e-01,5.331708671313636350e-01
9.326138355452975315e-01,5.255452243407882085e-01
9.357122203809963290e-01,5.179195815502122269e-01
9.388106052166949045e-01,5.102939387596369114e-01
9.419089900523935910e-01,5.026682959690611519e-01
9.450073748880921665e-01,4.950669530535693474e-01
9.481057597237909640e-01,4.878422582018540066e-01
9.512041445594895395e-01,4.806175633501391653e-01
9.543025293951883370e-01,4.733928684984238244e-01
9.574009142308869125e-01,4.661681736467090387e-01
9.604992990665855990e-01,4.589434787949940309e-01
9.635976839022841745e-01,4.517187839432792451e-01
9.666960687379829720e-01,4.444940890915637377e-01
9.697944535736815475e-01,4.372693942398491185e-01
9.728928384093802340e-01,4.301032598164445386e-01
9.759912232450789205e-01,4.233616884982809858e-01
9.790896080807776070e-01,4.166201171801174330e-01
9.821879929164761824e-01,4.098785458619541577e-01
9.852863777521749800e-01,4.031369745437903274e-01
9.883847625878735554e-01,3.963954032256270521e-01
9.914831474235722419e-01,3.896538319074634993e-01
9.945815322592708174e-01,3.829122605893002240e-01
9.976799170949696149e-01,3.761706892711365047e-01
1.000778301930668190e+00,3.695283836403812083e-01
1.003876686766366877e+00,3.633327736029537958e-01
1.006975071602065563e+00,3.571371635655263832e-01
1.010073456437764028e+00,3.509415535280994147e-01
1.013171841273462936e+00,3.447459434906715581e-01
1.016270226109161401e+00,3.385503334532445341e-01
1.019368610944860309e+00,3.323547234158167329e-01
1.022466995780558774e+00,3.261591133783897090e-01
1.025565380616257460e+00,3.199635033409623519e-01
1.028663765451956147e+00,3.139104166825152364e-01
1.031762150287654833e+00,3.083027155833755195e-01
1.034860535123353520e+00,3.026950144842359136e-01
1.037958919959052206e+00,2.970873133850961412e-01
1.041057304794750893e+00,2.914796122859564242e-01
1.044155689630449579e+00,2.858719111868167628e-01
1.047254074466148044e+00,2.802642100876774900e-01
1.050352459301846952e+00,2.746565089885373845e-01
1.053450844137545417e+00,2.690488078893981116e-01
1.056549228973244103e+00,2.636255616098315269e-01
1.059647613808942790e+00,2.586265614152780667e-01
1.062745998644641476e+00,2.536275612207245511e-01
1.065844383480340163e+00,2.486285610261711188e-01
1.068942768316038849e+00,2.436295608316176309e-01
1.072041153151737536e+00,2.386305606370641152e-01
1.075139537987436222e+00,2.336315604425106274e-01
1.078237922823134687e+00,2.286325602479575003e-01
1.081336307658833595e+00,2.236335600534037349e-01
1.084434692494532060e+00,2.188561535242236344e-01
1.087533077330230746e+00,2.144665359094420631e-01
1.090631462165929433e+00,2.100769182946603808e-01
1.093729847001628119e+00,2.056873006798788095e-01
1.096828231837326806e+00,2.012976830650971827e-01
1.099926616673025270e+00,1.969080654503158612e-01
1.103025001508724179e+00,1.925184478355339568e-01
1.106123386344422643e+00,1.881288302207526630e-01
1.109221771180121552e+00,1.837392126059707032e-01
1.112320156015820016e+00,1.796008172981931328e-01
1.115418540851518703e+00,1.758033665499170173e-01
1.118516925687217389e+00,1.720059158016408740e-01
1.121615310522916076e+00,1.682084650533647585e-01
1.124713695358614762e+00,1.644110143050886153e-01
1.127812080194313449e+00,1.606135635568124720e-01
1.130910465030012135e+00,1.568161128085363010e-01
1.134008849865710822e+00,1.530186620602602132e-01
1.137107234701409286e+00,1.492212113119843198e-01
1.140205619537108195e+00,1.456953492903728664e-01
1.143304004372806659e+00,1.424580502908406321e-01
1.146402389208505346e+00,1.392207512913082035e-01
1.149500774044204032e+00,1.359834522917757194e-01
1.152599158879902719e+00,1.327461532922432630e-01
1.155697543715601405e+00,1.295088542927108066e-01
1.158795928551300092e+00,1.262715552931783780e-01
1.161894313386998778e+00,1.230342562936459216e-01
1.164992698222697243e+00,1.197969572941136873e-01
1.168091083058395929e+00,1.168416337562154239e-01
1.171189467894094616e+00,1.141212897696766981e-01
1.174287852729793302e+00,1.114009457831379862e-01
1.177386237565491989e+00,1.086806017965992327e-01
1.180484622401190675e+00,1.059602578100605069e-01
1.183583007236889362e+00,1.032399138235218228e-01
1.186681392072588048e+00,1.005195698369830831e-01
1.189779776908286513e+00,9.779922585044455163e-02
1.192878161743985421e+00,9.507888186390561769e-02
1.195976546579683886e+00,9.264116380497834646e-02
1.199074931415382794e+00,9.038715259899626764e-02
1.202173316251081259e+00,8.813314139301452188e-02
1.205271701086779945e+00,8.587913018703260959e-02
1.208370085922478632e+00,8.362511898105069730e-02
1.211468470758177318e+00,8.137110777506878501e-02
1.214566855593876005e+00,7.911709656908687271e-02
1.217665240429574691e+00,7.686308536310494655e-02
1.220763625265273378e+00,7.460907415712303425e-02
1.223862010100972064e+00,7.262962407970134648e-02
1.226960394936670529e+00,7.078745456655846646e-02
1.230058779772369437e+00,6.894528505341533664e-02
1.233157164608067902e+00,6.710311554027247050e-02
1.236255549443766588e+00,6.526094602712946557e-02
1.239353934279465275e+00,6.341877651398646065e-02
1.242452319115163961e+00,6.157660700084346961e-02
1.245550703950862426e+00,5.973443748770059653e-02
1.248649088786561334e+00,5.789226797455745283e-02
1.251747473622260021e+00,5.630943327664231224e-02
1.254845858457958485e+00,5.482384913443661550e-02
1.257944243293657172e+00,5.333826499223080081e-02
1.261042628129356080e+00,5.185268085002488897e-02
1.264141012965054545e+00,5.036709670781918530e-02
1.267239397800753231e+00,4.888151256561337754e-02
1.270337782636451696e+00,4.739592842340768081e-02
1.273436167472150604e+00,4.591034428120176203e-02
1.276534552307849291e+00,4.442476013899596121e-02
1.279632937143547755e+00,4.317795213351716815e-02
1.282731321979246442e+00,4.199543001100239370e-02
1.285829706814945350e+00,4.081290788848754986e-02
1.288928091650644037e+00,3.963038576597277540e-02
1.292026476486342501e+00,3.844786364345809809e-02
1.295124861322041188e+00,3.726534152094332364e-02
1.298223246157740096e+00,3.608281939842847980e-02
1.301321630993438561e+00,3.490029727591378861e-02
1.304420015829137247e+00,3.371777515339902109e-02
1.307518400664835712e+00,3.275001212882781149e-02
1.310616785500534620e+00,3.182059894317431498e-02
1.313715170336233307e+00,3.089118575752088439e-02
1.316813555171931771e+00,2.996177257186752665e-02
1.319911940007630458e+00,2.903235938621409259e-02
1.323010324843329144e+00,2.810294620056066547e-02
1.326108709679027831e+00,2.717353301490724182e-02
1.329207094514726517e+00,2.624411982925380429e-02
1.332305479350425204e+00,2.531470664360038064e-02
1.335403864186123668e+00,2.457431662379174625e-02
1.338502249021822577e+00,2.385282892056699369e-02
1.341600633857521263e+00,2.313134121734229318e-02
1.344699018693219728e+00,2.240985351411764817e-02
1.347797403528918414e+00,2.168836581089295112e-02
1.350895788364617323e+00,2.096687810766819510e-02
1.353994173200315787e+00,2.024539040444355009e-02
1.357092558036014474e+00,1.952390270121884958e-02
1.360190942871712938e+00,1.880241499799420110e-02
1.363289327707411847e+00,1.824403088270977469e-02
1.366387712543110533e+00,1.769074375454815842e-02
1.369486097378808998e+00,1.713745662638658032e-02
1.372584482214507684e+00,1.658416949822496753e-02
1.375682867050206593e+00,1.603088237006331310e-02
1.378781251885905279e+00,1.547759524190169857e-02
1.381879636721603744e+00,1.492430811374012393e-02
1.384978021557302430e+00,1.437102098557850767e-02
1.388076406393001339e+00,1.382179391579422059e-02
1.391174791228699803e+00,1.340248871407644093e-02
1.394273176064398490e+00,1.298318351235863005e-02
1.397371560900096954e+00,1.256387831064085039e-02
1.400469945735795640e+00,1.214457310892303778e-02
1.403568330571494549e+00,1.172526790720519914e-02
1.406666715407193013e+00,1.130596270548741775e-02
1.409765100242891700e+00,1.088665750376960860e-02
1.412863485078590386e+00,1.046735230205179945e-02
1.415961869914289073e+00,1.005760853154562436e-02
1.419060254749987759e+00,9.743479073153545056e-03
1.422158639585686446e+00,9.429349614761465756e-03
1.425257024421384910e+00,9.115220156369410742e-03
1.428355409257083819e+00,8.801090697977308891e-03
1.431453794092782505e+00,8.486961239585229591e-03
1.434552178928480970e+00,8.172831781193174577e-03
1.437650563764179656e+00,7.858702322801095277e-03
1.440748948599878565e+00,7.544572864408995161e-03
1.443847333435577029e+00,7.242787589326026010e-03
1.446945718271275716e+00,7.010129740772874825e-03
1.450044103106974180e+00,6.777471892219739252e-03
1.453142487942673089e+00,6.544814043666569853e-03
1.456240872778371775e+00,6.312156195113418668e-03
1.459339257614070240e+00,6.079498346560282228e-03
1.462437642449768926e+00,5.846840498007130175e-03
1.465536027285467835e+00,5.614182649453961643e-03
1.468634412121166521e+00,5.381524800900808723e-03
1.471732796956864986e+00,5.162076639022294966e-03
1.474831181792563672e+00,4.991693027648921518e-03
1.477929566628262137e+00,4.821309416275558479e-03
1.481027951463961045e+00,4.650925804902172021e-03
1.484126336299659732e+00,4.480542193528797706e-03
1.487224721135358196e+00,4.310158582155435535e-03
1.490323105971056883e+00,4.139774970782061220e-03
1.493421490806755791e+00,3.969391359408673894e-03
1.496519875642454256e+00,3.799007748035312156e-03
1.499618260478152942e+00,3.641439107053693822e-03
1.502716645313851629e+00,3.518043720449776438e-03
1.505815030149550315e+00,3.394648333845859921e-03
1.508913414985249002e+00,3.271252947241942537e-03
1.512011799820947688e+00,3.147857560638025586e-03
1.515110184656646153e+00,3.024462174034117309e-03
1.518208569492345061e+00,2.901066787430191252e-03
1.521306954328043748e+00,2.777671400826273868e-03
1.524405339163742212e+00,2.654276014222365591e-03
1.527503723999440899e+00,2.542550543784987717e-03
1.530602108835139807e+00,2.454164905680485901e-03
1.533700493670838272e+00,2.365779267575996228e-03
1.536798878506536958e+00,2.277393629471501351e-03
1.539897263342235423e+00,2.189007991367012546e-03
1.542995648177934331e+00,2.100622353262510730e-03
1.546094033013633018e+00,2.012236715158014985e-03
1.549192417849331704e+00,1.923851077053519891e-03
1.552290802685030169e+00,1.835465438949030652e-03
1.555389187520728855e+00,1.757229570457301965e-03
1.558487572356427764e+00,1.694608732138942362e-03
1.561585957192126228e+00,1.631987893820592084e-03
1.564684342027824915e+00,1.569367055502237252e-03
1.567782726863523379e+00,1.506746217183886540e-03
1.570881111699222288e+00,1.444125378865527155e-03
1.573979496534920974e+00,1.381504540547172106e-03
1.577077881370619439e+00,1.318883702228821611e-03
1.580176266206318125e+00,1.256262863910466779e-03
1.583274651042017034e+00,1.202156922886051449e-03
1.586373035877715498e+00,1.158268858614301677e-03
1.589471420713414185e+00,1.114380794342548870e-03
1.592569805549112871e+00,1.070492730070796063e-03
1.595668190384811558e+00,1.026604665799043040e-03
1.598766575220510244e+00,9.827166015272902327e-04
1.601864960056208931e+00,9.388285372555374257e-04
1.604963344891907395e+00,8.949404729837876545e-04
1.608061729727606304e+00,8.510524087120318118e-04
1.611160114563304990e+00,8.140975489625584165e-04
1.614258499399003455e+00,7.836680581751865162e-04
1.617356884234702141e+00,7.532385673878124474e-04
1.620455269070401050e+00,7.228090766004362103e-04
1.623553653906099514e+00,6.923795858130644184e-04
1.626652038741798201e+00,6.619500950256902412e-04
1.629750423577496665e+00,6.315206042383183409e-04
1.632848808413195352e+00,6.010911134509443806e-04
1.635947193248894260e+00,5.706616226635681435e-04
1.639045578084592947e+00,5.457342306721274256e-04
1.642143962920291411e+00,5.248610167408212417e-04
1.645242347755990098e+00,5.039878028095135399e-04
1.648340732591689006e+00,4.831145888782044828e-04
1.651439117427387471e+00,4.622413749468982989e-04
1.654537502263086157e+00,4.413681610155906513e-04
1.657635887098784622e+00,4.204949470842845758e-04
1.660734271934483530e+00,3.996217331529754646e-04
1.663832656770182217e+00,3.787485192216678712e-04
1.666931041605880681e+00,3.621434295729918616e-04
1.670029426441579368e+00,3.479772680857999979e-04
1.673127811277278276e+00,3.338111065986070500e-04
1.676226196112976741e+00,3.196449451114161621e-04
1.679324580948675427e+00,3.054787836242242442e-04
1.682422965784374114e+00,2.913126221370323263e-04
1.685521350620072800e+00,2.771464606498404083e-04
1.688619735455771487e+00,2.629802991626484904e-04
1.691718120291470173e+00,2.488141376754565725e-04
1.694816505127168638e+00,2.378913253543491781e-04
1.697914889962867546e+00,2.283786648445706470e-04
1.701013274798566233e+00,2.188660043347927394e-04
1.704111659634264697e+00,2.093533438250155094e-04
1.707210044469963384e+00,1.998406833152376559e-04
1.710308429305661848e+00,1.903280228054604530e-04
1.713406814141360757e+00,1.808153622956818949e-04
1.716505198977059443e+00,1.713027017859040143e-04
1.719603583812757908e+00,1.617900412761267843e-04
1.722701968648456594e+00,1.546956456212653206e-04
1.725800353484155503e+00,1.483750947199699197e-04
1.728898738319854189e+00,1.420545438186749797e-04
1.731997123155552654e+00,1.357339929173805005e-04
1.735095507991251340e+00,1.294134420160855605e-04
1.738193892826950249e+00,1.230928911147901597e-04
1.741292277662648713e+00,1.167723402134956669e-04
1.744390662498347400e+00,1.104517893122007404e-04
1.747489047334045864e+00,1.041312384109062612e-04
1.750587432169744773e+00,9.958207853710254460e-05
1.753685817005443459e+00,9.542656111384895177e-05
1.756784201841141924e+00,9.127104369059564355e-05
1.759882586676840610e+00,8.711552626734205072e-05
1.762980971512539519e+00,8.296000884408814618e-05
1.766079356348237983e+00,7.880449142083485151e-05
1.769177741183936670e+00,7.464897399758123157e-05
1.772276126019635356e+00,7.049345657432765230e-05
1.775374510855334043e+00,6.633793915107404592e-05
1.778472895691032729e+00,6.345844483952932207e-05
1.781571280526731416e+00,6.075495371580405887e-05
1.784669665362429880e+00,5.805146259207899219e-05
1.787768050198128567e+00,5.534797146835372899e-05
1.790866435033827475e+00,5.264448034462828284e-05
1.793964819869525940e+00,4.994098922090321616e-05
1.797063204705224626e+00,4.723749809717795297e-05
1.800161589540923091e+00,4.453400697345288628e-05
